Immatriculation,Titre courant de l'œuvre,Légende,Département,Commune,Lieu-dit,Adresse,Sujet,Nom du fichier,Année de la photo,Catégorie,Mot-clé,Auteur doc. reproduit,url_photo_small,url_photo_medium
IVR11_20107700387NUC4A,"Usine de matériel électrique industriel Schneider et Cie, puis Le Matériel Electrique Scheider-Westinghouse (SW), puis Jeumont-Schneider (JS), actuellement ensemble industriel appelé ""Espace Technologique et Industriel de Champagne-sur-Seine"" (zone ETIC)","Ateliers sud, occupés par le carrossier-constructeur Mecagil-Lebon. Champagne-sur-Seine. Usine de matériel électrique industriel Schneider et Cie, puis Le Matériel Electrique Scheider-Westinghouse (SW), puis Jeumont-Schneider (JS), actuellement ensemble industriel appelé ""Espace Technologique et Industriel de Champagne-sur-Seine"" (zone ETIC)",77.0,Champagne-sur-Seine,,rue du Général-de-Gaulle ;  rue d' Alsace ;  rue d' Aqueduc ;  rue d' Bourgogne ;  rue de Bretagne,,IVR11_20107700387NUC4A.jpg,2010.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4c7d7ce30000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4c7d7ce30000000000000000_MEDIUM.jpg
IVR11_20119500038Z,église Saint Maclou,"Vue du clocher et détail de la clôture de chapelle. Tiré de : Moniteur des Architectes, année 1896-1897. ( BNF, cabinet des estampes. topo Va 95 fol., t.8 Val d'Oise, B 16892)",95.0,Pontoise,,,,IVR11_20119500038Z.jpg,2011.0,,,"Sergent, René",https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60960000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60960000000000000000_MEDIUM.jpg
IVR11_20119500107Z,village,"Vue d'ensemble avec à droite le clocher de l'église. Gravure. ( BNF, cabinet des estampes. topo Va 95 fol., t.8 Val d'Oise, B 16240)",95.0,Jouy-le-Moutier,,,,IVR11_20119500107Z.jpg,2011.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60db0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60db0000000000000000_MEDIUM.jpg
IVR11_20119500131NUC4A,,Vue du paysage depuis le belvédère de Jouy le moutier. Ville,95.0,Jouy-le-Moutier,,,,IVR11_20119500131NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60f30000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60f30000000000000000_MEDIUM.jpg
IVR11_20119500376NUC4A,,?,95.0,Cergy,,xx,,IVR11_20119500376NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e61e80000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e61e80000000000000000_MEDIUM.jpg
IVR11_20119400312NUC4A,,Vue d'ensemble. Eglise paroissiale Notre-Dame,94.0,Valenton,,Oradour-Sur-Glane (place d'),,IVR11_20119400312NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d4740280000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d4740280000000000000000_MEDIUM.jpg
IVR11_20119300182NUC4A,,Blanchisserie ELIS,93.0,Pantin,,,,IVR11_20119300182NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d6c29a60000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d6c29a60000000000000000_MEDIUM.jpg
IVR11_20117700498NUC4A,"Cité ouvrière du ""Nouveau Quartier""","Immeubles en meulière blanche, ancienne rue des écoles (actuelle rue Georges Clémenceau). Champagne-sur-Seine. Cité ouvrière du ""Nouveau Quartier""",77.0,Champagne-sur-Seine,,"2-24, 5 rue Georges-Clemenceau ; 12-14 rue Pasteur ; 4-8, 7-11 rue Jean-Jaurès ; 54-56, 55-57 rue de la Libération ; 1 place Henri-Schneider ;  angle de la rue de la Libération et de la rue du Merisier",,IVR11_20117700498NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb0d20000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb0d20000000000000000_MEDIUM.jpg
IVR11_20117700547NUC4A,"Champagne-sur-Seine - Lotissement concerté (maisons des employés et des ingénieurs) du ""Nouveau Quartier"", appelé ""Les Pavillons""","Porte de hangar cintrée en briques rouges. Lotissement concerté (maisons des employés et des ingénieurs) du ""Nouveau Quartier"", appelé ""Les Pavillons""",77.0,Champagne-sur-Seine,,"1-7 et 4-8 rue de la Libération ; 19-21 rue des Prés ; 1, 5-7, 9 rue Henri-Schneider ; 20 rue du Docteur-Mourier ; 32 rue Achille-Lez",,IVR11_20117700547NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1030000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1030000000000000000_MEDIUM.jpg
IVR11_20117700723NUC4A,"Usine de matériel électrique industriel Schneider et Cie, puis Le Matériel Electrique Scheider-Westinghouse (SW), puis Jeumont-Schneider (JS), actuellement ensemble industriel appelé ""Espace Technologique et Industriel de Champagne-sur-Seine"" (zone ETIC)","La tribune du stade Paul Hebras (1934). Champagne-sur-Seine. Usine de matériel électrique industriel Schneider et Cie, puis Le Matériel Electrique Scheider-Westinghouse (SW), puis Jeumont-Schneider (JS), actuellement ensemble industriel appelé ""Espace Technologique et Industriel de Champagne-sur-Seine"" (zone ETIC)",77.0,Champagne-sur-Seine,,rue du Général-de-Gaulle ;  rue d' Alsace ;  rue d' Aqueduc ;  rue d' Bourgogne ;  rue de Bretagne,,IVR11_20117700723NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1b30000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1b30000000000000000_MEDIUM.jpg
IVR11_20117700753NUC4A,"Écuelles - institut de recherche et laboratoire EDF ""Les Renardières""","Ensemble de quatre laboratoires d'essais classiques blancs de type Prouvé, département EMA (Etudes des Matériaux). Institut de recherche et laboratoire EDF ""Les Renardières""",77.0,Moret-Loing-et-Orvanne,,avenue des Renardières,,IVR11_20117700753NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1d10000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1d10000000000000000_MEDIUM.jpg
IVR11_20117700796NUC4A,"Écuelles - institut de recherche et laboratoire EDF ""Les Renardières""","Laboratoire d'essais classique blanc de type Prouvé. Détail. Assemblage des panneaux. Traitement du joint. Institut de recherche et laboratoire EDF ""Les Renardières""",77.0,Moret-Loing-et-Orvanne,,avenue des Renardières,,IVR11_20117700796NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1fc0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1fc0000000000000000_MEDIUM.jpg
IVR11_20117500479NUC4A,stade dit stade Est ou Etienne-Dalmasso,"La piste de saut en longueur, au sud du stade, en bordure du périphérique. Stade dit stade Est ou Etienne-Dalmasso",75.0,Paris 14e arrondissement,,boulevard Jourdan,stade;piste d'athlétisme,IVR11_20117500479NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e863dbf0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e863dbf0000000000000000_MEDIUM.jpg
IVR11_20129500396NUC4A,,Vue de graffiti dans la partie inférieure faits dans le cadre du collectif Art Osons qui créée en 2008 devient l'association Art Osons qui comporte alors 22 adhérents. Parc de loisirs Mirapolis,95.0,Courdimanche,,,,IVR11_20129500396NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff957c0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff957c0000000000000000_MEDIUM.jpg
IVR11_20129500404NUC4A,,Vue du grand lac du parc de Gargantua. Parc de loisirs Mirapolis,95.0,Courdimanche,,,,IVR11_20129500404NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff95840000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff95840000000000000000_MEDIUM.jpg
IVR11_20129500468NUC4A,,"Vue du portail latéral, de style Renaissance. Sur le trumeau central figure une statue de la Vierge, datant du 14e siècle. Eglise paroissiale Notre-Dame de la Nativité Saint-Leu",95.0,Jouy-le-Moutier,,Grande rue,,IVR11_20129500468NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff95c40000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff95c40000000000000000_MEDIUM.jpg
IVR11_20129500810NUC4A,,Vue du clocher avec le village en arrière plan. Eglise paroissiale Saint-Léger,95.0,Menucourt,,Eglise (place de l'),,IVR11_20129500810NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff971a0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff971a0000000000000000_MEDIUM.jpg
IVR11_20129500862NUC4A,,Vue aérienne.,95.0,Pontoise,,,,IVR11_20129500862NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff974e0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4eff974e0000000000000000_MEDIUM.jpg
IVR11_20129400051NUC4A,,,94.0,,,,,IVR11_20129400051NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4f2872a30000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4f2872a30000000000000000_MEDIUM.jpg
IVR11_20129400060NUC4A,,,94.0,,,,,IVR11_20129400060NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4f2872ac0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4f2872ac0000000000000000_MEDIUM.jpg
IVR11_20127700181NUC4A,,,77.0,Montereau-Fault-Yonne,,,,IVR11_20127700181NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/504134950000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/504134950000000000000000_MEDIUM.jpg
IVR11_20127700788NUC4A,atelier (portraits),Portrait de Serge Dissoubray. Né en 1934. A travaillé en bureau d'études chez Schneider Westinghouse sur les MET (machines électriques tournantes) de 1951 à 1964 puis chez Jeumont-Schneider (DMM puis MEI) entre 1964 et 1999 ; enfin en bureau d'études MEI chez ABB jusqu'en 1990. Pose devant le bâtiment de l'administration. Atelier (portraits),77.0,,,,,IVR11_20127700788NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/504136f40000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/504136f40000000000000000_MEDIUM.jpg
IVR11_20127701019NUC4A,,ADR Thomery,77.0,Thomery,,,,IVR11_20127701019NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/504137db0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/504137db0000000000000000_MEDIUM.jpg
IVR11_20127500023NUC4A,résidence d'étudiants dite Maison du Cambodge,Vue perspective de la façade sud.,75.0,Paris,14e arrondissement,,,IVR11_20127500023NUC4A.jpg,2012.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c0f70000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c0f70000000000000000_MEDIUM.jpg
IVR11_20127500106NUC4A,immeubles à logements dites immeubles à loyer modéré (2),Vue perspective en direction du Boulevard Jourdan.,75.0,Paris 14e arrondissement,14e arrondissement,boulevard Jourdan ;  avenue Paul-Appell ;  rue Emile-Faguet,,IVR11_20127500106NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c14a0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c14a0000000000000000_MEDIUM.jpg
IVR11_20127500874NUDA,"rampe d'appui, escalier",Plan de localisation de l'escalier d'après l'Atlas Vasserot.(communication interdite),75.0,Paris 1er arrondissement,,Saint-Florentin (rue de) 2,,IVR11_20127500874NUDA.jpg,2012.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c44a0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c44a0000000000000000_MEDIUM.jpg
IVR11_20127500955NUC4A,,"Une vue de l'esplanade située devant le bâtiment, du côté de la Fondation hellenique. Résidence d'étudiants dite Maison des Provinces de France",75.0,Paris,,55 boulevard Jourdan,,IVR11_20127500955NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c49b0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c49b0000000000000000_MEDIUM.jpg
IVR11_20127501038NUC4A,parc de la Cité internationale universitaire de Paris,,75.0,Paris,,Jourdan (boulevard),,IVR11_20127501038NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c4ee0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c4ee0000000000000000_MEDIUM.jpg
IVR11_20127501248NUC4A,résidence d'étudiants dite Fondation Suisse,Salon courbe : déail du mur de séparation avec le vestibule.,75.0,Paris,14e arrondissement,Jourdan (boulevard) 7,,IVR11_20127501248NUC4A.jpg,2012.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c5c00000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c5c00000000000000000_MEDIUM.jpg
IVR11_20127501307NUC4A,,Un des corbeaux de la salle à manger devenue par la suite antichambre. Hôtel Gaillard puis banque de France. Actuellement cité de l'économie et de la monnaie.,75.0,Paris,,général-Cartroux (place du) 1;Thann (rue de) 16;Georges Berger (rue) 11 bis-ter,,IVR11_20127501307NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c5fb0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c5fb0000000000000000_MEDIUM.jpg
IVR11_20127501392NUC4A,ensemble de pièces murales : tenture dite de l'Afrique,,75.0,Paris 14e arrondissement,14e arrondissement,,,IVR11_20127501392NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c6500000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c6500000000000000000_MEDIUM.jpg
IVR11_20127501399NUC4A,peinture monumentale : Zodiaque africain,Vue d'ensemble.,75.0,Paris 14e arrondissement,14e arrondissement,,,IVR11_20127501399NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c6570000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c6570000000000000000_MEDIUM.jpg
IVR11_20127501566NUC4A,,Hôtel Gaillard puis banque de France. Actuellement cité de l'économie et de la monnaie.,75.0,Paris,,général-Cartroux (place du) 1;Thann (rue de) 16;Georges Berger (rue) 11 bis-ter,,IVR11_20127501566NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c6fe0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c6fe0000000000000000_MEDIUM.jpg
IVR11_20127501623NUC4A,,"Dais représentant un escalier en vis de style rennaissance, cul-de-lampe semi circulaire et Vierge à l'enfant. Hôtel Gaillard puis banque de France. Actuellement cité de l'économie et de la monnaie.",75.0,Paris,,général-Cartroux (place du) 1;Thann (rue de) 16;Georges Berger (rue) 11 bis-ter,,IVR11_20127501623NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c7370000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c7370000000000000000_MEDIUM.jpg
IVR11_20127501636NUC4A,,"Porte à un battant avec ferronneries méplates figurant des motifs végétaux pour partie des VXe ou VXIe siècles, détail. Hôtel Gaillard puis banque de France. Actuellement cité de l'économie et de la monnaie.",75.0,Paris,,général-Cartroux (place du) 1;Thann (rue de) 16;Georges Berger (rue) 11 bis-ter,,IVR11_20127501636NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c7440000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c7440000000000000000_MEDIUM.jpg
IVR11_20127501699NUC4A,,"Porte située au premier étage, face sur l'escalier d'honneur, en bois à deux battants ouvrants centraux avec panneaux latéraux et tympan et datant pour partie du XVIe siècle, détail. Hôtel Gaillard puis banque de France. Actuellement cité de l'économie et de la monnaie.",75.0,Paris,,général-Cartroux (place du) 1;Thann (rue de) 16;Georges Berger (rue) 11 bis-ter,,IVR11_20127501699NUC4A.jpg,2012.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c7830000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5068c7830000000000000000_MEDIUM.jpg
IVR11_20229400091NUC4A,Gymnase Léopold Bellan,"Le gymnase Léoplod Bellan, édifié en 1913, architecte Théo Petit, classé MH.",94.0,Bry-sur-Marne,,67bis avenue de Rigny,,IVR11_20229400091NUC4A.jpg,2022.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/61f86a4b0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/61f86a4b0000000000000000_MEDIUM.jpg
IVR11_20217500448NUC4A,,"Ancien site de l'École Polytechnique aujourd'hui Ministère de l'Enseignement Supérieur, de la Recherche et de l'Innovation.",75.0,Paris,,,édifice d'enseignement supérieur,IVR11_20217500448NUC4A.jpg,2021.0,enseignement,École Polytechnique,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/615635200000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/615635200000000000000000_MEDIUM.jpg
IVR11_20249200397NUC4A,,,92.0,Saint-Cloud,,,,IVR11_20249200397NUC4A.jpeg,2024.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6720f6b70000000000000048_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6720f6b70000000000000048_MEDIUM.jpg
IVR11_20217500640NUC4A,,Une œuvre de l'artiste Invader sur le pont au dessus du périphérique à la Porte de Vincennes.,75.0,Paris,,,,IVR11_20217500640NUC4A.jpg,2021.0,,"art urbain,street art,Space Invader",,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/615635e00000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/615635e00000000000000000_MEDIUM.jpg
IVR11_20197800090NUC4A,école nationale supérieure agronomique de Grignon (AgroParisTech Centre de Grignon),École nationale supérieure agronomique de Grignon (AgroParisTech Centre de Grignon),78.0,Thiverval-Grignon,,avenue de Brétignièrers,,IVR11_20197800090NUC4A.jpg,2019.0,,Université de Paris-Saclay,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5d420fba0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5d420fba0000000000000000_MEDIUM.jpg
IVR11_20197800138NUC4A,école nationale supérieure agronomique de Grignon (AgroParisTech Centre de Grignon),École nationale supérieure agronomique de Grignon (AgroParisTech Centre de Grignon),78.0,Thiverval-Grignon,,avenue de Brétignièrers,,IVR11_20197800138NUC4A.jpg,2019.0,,Université de Paris-Saclay,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5d420fea0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5d420fea0000000000000000_MEDIUM.jpg
IVR11_20197800179NUC4A,école nationale supérieure agronomique de Grignon (AgroParisTech Centre de Grignon),École nationale supérieure agronomique de Grignon (AgroParisTech Centre de Grignon),78.0,Thiverval-Grignon,,avenue de Brétignièrers,,IVR11_20197800179NUC4A.jpg,2019.0,,Université de Paris-Saclay,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5d4210130000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5d4210130000000000000000_MEDIUM.jpg
IVR11_20197500575NUC4A,,,75.0,Paris,,,,IVR11_20197500575NUC4A.jpg,2019.0,,Cité Scolaire Maurice Ravel,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5d927d1f0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5d927d1f0000000000000000_MEDIUM.jpg
IVR11_20157500409NUC4A,,Dalle Beaugrenelle.,75.0,Paris,,,,IVR11_20157500409NUC4A.jpg,2015.0,,"Quartier Beaugrenelle,urbanisme sur dalle",,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/560c5cf90000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/560c5cf90000000000000000_MEDIUM.jpg
IVR11_20229400536NUC4A,,L'école Edouard Vaillant.,94.0,Fontenay-sous-Bois,,,,IVR11_20229400536NUC4A.jpg,2022.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/61f86c080000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/61f86c080000000000000000_MEDIUM.jpg
IVR11_20229400537NUC4A,,L'école Edouard Vaillant.,94.0,Fontenay-sous-Bois,,,,IVR11_20229400537NUC4A.jpg,2022.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/61f86c090000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/61f86c090000000000000000_MEDIUM.jpg
IVR11_20207500036NUC4A,,,75.0,"Paris,Paris 11e arrondissement",,"127, rue du Faubourg-Saint-Antoine",usine d'ébénisterie,IVR11_20207500036NUC4A.jpg,2020.0,ébénisterie,artisanat,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5f7500040000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/5f7500040000000000000000_MEDIUM.jpg
IVR11_20237500007NUC4A,,"Hôtel de Luppé. 33, rue Barbet-de-Jouy, 75007 Paris.",75.0,Paris,,,,IVR11_20237500007NUC4A.jpg,2023.0,,hôtel particulier,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/65189a670000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/65189a670000000000000000_MEDIUM.jpg
IVR11_20257500028NUC4A,,"Colonne de Juillet, place de la Bastille",75.0,Paris 11e arrondissement,,Place de la Bastille,,IVR11_20257500028NUC4A.jpg,2025.0,,monument historique,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/679772220000000000000001_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/679772220000000000000001_MEDIUM.jpg
IVR11_20177500087NUC4A,Bains douches de la rue des Haies,"Détail de l'entrée des bains-douches, surmontée d'une coupole en pavés de verre. Bains douches de la rue des Haies",75.0,Paris,,27 rue des Haies,,IVR11_20177500087NUC4A.jpg,2017.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/59d014370000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/59d014370000000000000000_MEDIUM.jpg
IVR11_20249200768NUC4A,,,92.0,Saint-Cloud,,1 rue du camp canadien,,IVR11_20249200768NUC4A.jpeg,2024.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/67345c4b0000000000000069_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/67345c4b0000000000000069_MEDIUM.jpg
IVR11_20247500132NUC4A,,"Hôtel de l’Industrie, siège de la Société d’Encouragement pour l’Industrie nationale.",75.0,Paris,,,,IVR11_20247500132NUC4A.jpg,2024.0,,Label Patrimoine d'Intérêt Régional,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6641d96d0000000000000024_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6641d96d0000000000000024_MEDIUM.jpg
IVR11_20247500136NUC4A,,"Hôtel de l’Industrie, siège de la Société d’Encouragement pour l’Industrie nationale.",75.0,Paris,,,,IVR11_20247500136NUC4A.jpg,2024.0,,Label Patrimoine d'Intérêt Régional,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6641d96d0000000000000027_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6641d96d0000000000000027_MEDIUM.jpg
IVR11_20247500185NUC4A,,"Hôtel de l’Industrie, siège de la Société d’Encouragement pour l’Industrie nationale.",75.0,Paris,,,,IVR11_20247500185NUC4A.jpg,2024.0,,Label Patrimoine d'Intérêt Régional,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6641d96d0000000000000077_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6641d96d0000000000000077_MEDIUM.jpg
IVR11_20247500512NUC4A,,La gare de Boulainvilliers sur la ligne du RER C.,75.0,Paris 16e arrondissement,,,,IVR11_20247500512NUC4A.jpg,2024.0,,Label Patrimoine d'Intérêt Régional,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6718f5230000000000000019_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/6718f5230000000000000019_MEDIUM.jpg
