Immatriculation,Titre courant de l'œuvre,Légende,Département,Commune,Lieu-dit,Adresse,Sujet,Nom du fichier,Année de la photo,Catégorie,Mot-clé,Auteur doc. reproduit,url_photo_small,url_photo_medium
IVR11_20079300130XA,,"Vue sur les voies de la gare de Pantin et les passerelles d'accès construites en 1893, à partir du pont routier (passerelles métalliques en tôle laminée et poutres en treillis). Gare de Pantin",93.0,Pantin,,Gare (avenue de la),,IVR11_20079300130XA.jpg,2007.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/45e609f20000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/45e609f20000000000000000_MEDIUM.jpg
IVR11_20079300696XA,,"Détail d'entrée d'immeuble, dessins gravés. Cité Pierre Sémard",93.0,Saint-Denis,,Eugène-Hénaff (rue),,IVR11_20079300696XA.jpg,2007.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/45e60c280000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/45e60c280000000000000000_MEDIUM.jpg
IVR11_20079100181XA,immeuble,"Façades sud-ouest d'un immeuble d'habitation de la Z.A.C. Champagne, sur le plateau, rue Gabriel-Fauré.",91.0,Juvisy-sur-Orge,ville,Gabriel-Fauré (rue),immeuble,IVR11_20079100181XA.jpg,2007.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/463667950000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/463667950000000000000000_MEDIUM.jpg
IVR11_20079100402XA,église paroissiale Notre-Dame-de-France,Bon de souscription pour la reconstruction de l'église émis par le père Emile Baudet vers 1937.,91.0,Juvisy-sur-Orge,centre,Maréchal-Leclerc (place du) ; Docteur-Vinot (rue du) 4,église paroissiale,IVR11_20079100402XA.jpg,2007.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/463668720000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/463668720000000000000000_MEDIUM.jpg
IVR11_20079102002NUC4A,parc ; moulin ; puis lotissement du parc,"Plan dressé à l'initiative de l'Association syndicale de reconstruction de Juvisy indiquant l'extension du périmètre syndical, à partir du plan topographique levé en 1945 par le géomètre agréé L. Poussin : détail correspondant au lotissement du parc.",91.0,Juvisy-sur-Orge,parc (le),,moulin;parc;moulin,IVR11_20079102002NUC4A.jpg,2007.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/46366eb20000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/46366eb20000000000000000_MEDIUM.jpg
IVR11_20077800441NUCA,ville,La place de l'ancienne mairie. Carte postale. (Collection particulière).,78.0,Chanteloup-les-Vignes,,,place,IVR11_20077800441NUCA.jpg,2007.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/46afb2990000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/46afb2990000000000000000_MEDIUM.jpg
IVR11_20089400247NUC4A,,"Groupe scolaire Condorcet, angle rue de Condorcet, rue des Peupliers. Groupe scolaire Condorcet",94.0,Villeneuve-Saint-Georges,,Condorcet (rue);Peupliers (rue des),,IVR11_20089400247NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47a253e70000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47a253e70000000000000000_MEDIUM.jpg
IVR11_20089300272NUC4A,dispensaire Louise Michel,Vue de la façade principale. Dispensaire Louise Michel,93.0,Romainville,,15 rue  Carnot,,IVR11_20089300272NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47c88f800000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47c88f800000000000000000_MEDIUM.jpg
IVR11_20089300694NUC4A,,Vue générale depuis les voies de chemin de fer des batiments de l'entreprise Elis le long de la rue du Débarcadère. Blanchisserie,93.0,Pantin,,Général-Compans (rue du) 9,,IVR11_20089300694NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47c891260000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47c891260000000000000000_MEDIUM.jpg
IVR11_20089300764NUC4A,,"Détail d'une halle de transbordement , construite entre 1864 et 1870 de la gare de marchandises. Gare de marchandises de Pantin",93.0,Pantin,,Gare-des-marchandises (place de la),,IVR11_20089300764NUC4A.jpg,2008.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47c8916c0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/47c8916c0000000000000000_MEDIUM.jpg
